,compound name,smile formula,EI99,Recipe,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
112,formaldehyde,C=O,0.004867558,0.019439912,-5.928368253,0.298606032,-1.043843628,0.699079219,-0.661099641,0.540631878,-1.28821236,-0.679948387,1.178131765,0.250670756,-0.467867753,-0.056637557,0.447520353,0.043844955,-0.779839763,-0.313230904,0.569008199,-0.453415485,-0.24974015,0.360185442,0.823960687,-0.147225952,0.188922154,-0.002734012,0.584099017,-0.471531684,-0.290022814,-0.393692258
191,trifluoroacetic acid,OC(=O)C(F)(F)F,0.060105618,0.17377244,-1.337223336,4.287663591,3.623016793,4.176159258,-2.458446675,2.75928549,2.447849688,1.596837185,0.15319194,1.137517804,0.220342808,-0.241816034,0.658455248,0.432652239,-0.098073542,-0.180024505,-0.653077715,-0.841096409,-0.05087878,-0.980406572,-0.805372007,-0.60382008,0.744090329,-0.37736273,0.098318312,0.130888825,1.396369055,0.007459195
201,succinic acid,OC(=O)CCC(O)=O,0.012991552,0.063871316,1.411884752,6.393987255,0.123151977,0.230115335,-1.917086923,0.304893123,-1.712846171,-0.071137761,-0.481165374,3.538291105,0.138047342,0.784776607,-0.258078663,-0.770486611,-0.855673728,0.006965743,-0.585160976,-0.021064473,-0.616771516,-1.057015954,-1.019121042,-0.626653329,-0.305686049,-0.934631114,0.153752368,-0.510790778,0.219091183,-0.331421567
105,ethylene glycol diethyl ether,CCOCCOCC,0.01773048,0.066065705,0.461041398,1.270558269,0.675399748,-4.837054821,-0.852857379,-1.382246296,0.963728688,-0.944023208,-1.235265207,-2.059950322,-1.973393992,0.551261574,1.507563264,0.684732978,2.011294396,1.596510579,0.625769971,-0.414813623,-1.103550813,-0.578836098,1.529629502,-0.116134909,2.205588519,0.126824719,-0.895964563,-1.058064705,0.276325643,0.585089779
103,ethylene carbonate,O=C1OCCO1,0.007330267,0.029624642,-1.491953898,2.060879943,-0.491092427,-1.579183682,1.545045748,4.12378572,-1.437723227,1.782664486,2.077042105,-2.083991154,-0.87179331,1.348565489,1.785571181,-0.17526492,-0.042810126,0.411997494,-1.316781609,-1.393246085,-0.795313652,-0.38405053,0.295104853,0.26394043,0.98521179,-0.231118174,1.001299444,-0.229599914,1.636096242,-1.180016302
194,trimethyl borate,COB(OC)OC,0.016337145,0.048802913,-1.15698287,2.539417911,0.602389144,-1.755002099,-0.365780675,-0.216580035,0.523861063,0.203255562,-1.001140888,-0.409882656,-1.576776346,0.489221983,0.665064359,0.418408284,1.197920645,-0.307118294,0.293849241,0.309091585,0.609938459,-0.195640426,1.260269566,0.240578197,-0.70580099,0.795507353,-1.019062953,0.434018622,-0.523032581,1.09429403
24,aclonifen,Nc1c(Cl)c(Oc2ccccc2)ccc1[N+]([O-])=O,0.045775417,0.16385056,14.21567311,-3.280724153,-5.094103475,7.238878559,2.0189944,-1.858316435,-1.256411867,1.071940599,-2.399712018,-4.330615016,-0.681053993,2.373792334,-1.447941489,-2.507690232,-0.047111025,3.539193722,0.159331278,-2.037227278,-1.009498197,-1.467564447,0.740978444,0.203607123,-1.122136993,-0.945923471,1.326404255,-0.077304021,0.257251022,-1.387321546
129,isopropyl acetate,CC(C)OC(C)=O,0.020819413,0.09050918,-0.450354705,1.359749047,-0.147033799,-1.806967296,-1.533981488,1.38404666,0.138799094,-2.021715472,-0.151187292,-1.322348208,-0.159657763,0.627234056,1.245988422,-0.836442179,-1.130409393,-0.36183154,-1.396032869,1.150376405,-0.644880418,-0.217405453,0.128388141,0.10239561,0.004039478,0.081790211,0.567793417,0.253286571,-1.49522161,0.128895908
4,"2,4-dinitrotoluene",Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.023303968,0.042908317,7.818938516,0.28507348,-3.892816054,6.910095455,2.146838263,2.60610797,-1.751369254,-2.656589187,-9.644395295,-4.315176381,-1.612690151,5.220845389,-5.713525462,0.255672402,1.868274178,-2.632365639,0.667872851,1.248371049,-0.368860591,1.62328307,0.04242104,1.412203519,1.455268656,1.1328908,1.721078891,-0.826483678,1.622184924,-0.21821066
185,trichloroacetic acid,OC(=O)C(Cl)(Cl)Cl,0.021486248,0.075569622,-0.099606873,1.936265616,4.997359513,2.35380232,-0.588280186,-0.286132327,-2.03708199,-0.094476459,0.790461582,1.735909491,1.269760893,-0.822085911,-0.808374993,-2.469822558,0.713884397,0.210410197,-1.743501223,-0.350880988,0.478343796,-1.07214596,-0.259714999,-1.022946097,0.518124733,0.345023784,0.210010761,-0.1972945,2.219574585,0.015242751
13,4-tert-butylbenzaldehyde,CC(C)(C)c1ccc(C=O)cc1,0.016756364,0.084668329,5.031666962,-3.428158456,-0.99615931,-1.723015051,-1.842098306,1.445505358,1.009409344,-2.233717722,-0.038695792,0.797968159,0.829582983,-1.242050524,-1.197373546,0.443456952,-2.382499135,-0.317437048,-1.170947906,-0.333971553,-2.683032528,0.649088929,2.432749848,0.139905967,-0.526446976,-1.675519927,-0.418612074,-0.129046928,-0.962188173,-0.335155776
63,chlorosulfonic acid,O[S](Cl)(=O)=O,0.014692526,0.018907123,-2.548015163,2.305596369,2.84516976,2.882333016,-0.870195791,0.648676316,0.299580949,0.858646474,0.740288188,0.31312657,-0.825977039,0.442607569,0.066935035,0.561825287,-0.699795721,0.086500831,-0.46394908,1.87653965,1.547669907,0.376546309,1.248309187,0.575561013,1.041028205,0.516348815,-1.522759657,0.228270404,-0.774533525,0.435211789
55,carbon tetrachloride,ClC(Cl)(Cl)Cl,0.005263484,0.02936159,-2.935045675,-2.170441624,6.447633728,1.717142287,0.346344506,-1.566539349,-1.67421545,0.371995515,-0.014336429,0.173618981,1.219713388,-1.645086208,-1.2098308,-3.316171362,1.505670164,0.749627531,-0.802200139,0.089159277,0.386718872,-0.177186726,0.578430952,-0.046830916,-0.730403224,0.894693786,0.123916928,-0.662906367,1.153648785,0.030156114
57,chloroacetic acid,OC(=O)CCl,0.013690099,0.046353963,-2.337372163,2.765202489,1.305708558,1.171188834,-1.143095551,-0.254708511,-2.05854086,0.186237359,0.347048962,1.732185741,-0.144501708,-0.440659063,-0.170728715,-1.56228708,0.4591117,0.109707277,0.231791025,-0.692824046,-1.248713486,-0.801118748,-0.275155199,-0.543246103,0.175198372,-0.039193108,2.024523134,0.17692022,-0.288605424,0.037158161
114,glucose,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,0.14838689,0.10089461,5.835768639,9.332288384,-1.741987689,-1.822177652,-2.140467034,-3.647987369,-1.74048325,5.393035244,3.872587517,-4.956388982,3.046702933,-3.301143194,-5.900988309,2.463723308,-2.36035552,-2.498094275,-2.335326986,-2.352075713,-1.070363404,1.883018789,3.335663168,0.712155203,-1.167545191,-0.119464962,1.065910155,1.20413844,0.492533093,-0.329683997
